strategy_mode,config,total_trades,wins,losses,win_rate_pct,total_pl,final_equity,return_pct,max_dd_pct,pl_per_trade,score,db_path,risk_pct,sl_pips,tp_pips,daily_max_losses
FULL,FULL_R0.01_SL5_RR1.0_DL1,702,365,337,51.99,-7161.14,2838.86,-71.61,72.01,-10.201,-0.9944,backtest_results\FULL_R0_01_SL5_RR1_0_DL1.db,0.01,5,5.0,1
FULL,FULL_R0.01_SL5_RR1.0_DL2,1050,562,488,53.52,-7890.07,2109.93,-78.9,79.92,-7.5143,-0.9873,backtest_results\FULL_R0_01_SL5_RR1_0_DL2.db,0.01,5,5.0,2
FULL,FULL_R0.01_SL5_RR1.0_DL3,1171,629,542,53.71,-8175.71,1824.29,-81.76,82.6,-6.9818,-0.9898,backtest_results\FULL_R0_01_SL5_RR1_0_DL3.db,0.01,5,5.0,3
FULL,FULL_R0.01_SL5_RR1.0_DL4,1208,643,565,53.23,-8470.91,1529.09,-84.71,85.17,-7.0123,-0.9945,backtest_results\FULL_R0_01_SL5_RR1_0_DL4.db,0.01,5,5.0,4
FULL,FULL_R0.01_SL5_RR1.0_DL5,1222,653,569,53.44,-8430.06,1569.94,-84.3,84.7,-6.8986,-0.9952,backtest_results\FULL_R0_01_SL5_RR1_0_DL5.db,0.01,5,5.0,5
FULL,FULL_R0.01_SL5_RR1.25_DL1,668,319,349,47.75,-6143.02,3856.98,-61.43,62.53,-9.1961,-0.9824,backtest_results\FULL_R0_01_SL5_RR1_25_DL1.db,0.01,5,6.25,1
FULL,FULL_R0.01_SL5_RR1.25_DL2,1005,478,527,47.56,-7703.55,2296.45,-77.04,79.04,-7.6652,-0.9746,backtest_results\FULL_R0_01_SL5_RR1_25_DL2.db,0.01,5,6.25,2
FULL,FULL_R0.01_SL5_RR1.25_DL3,1121,540,581,48.17,-7771.15,2228.85,-77.71,78.81,-6.9323,-0.9861,backtest_results\FULL_R0_01_SL5_RR1_25_DL3.db,0.01,5,6.25,3
FULL,FULL_R0.01_SL5_RR1.25_DL4,1155,552,603,47.79,-8085.62,1914.38,-80.86,81.63,-7.0005,-0.9905,backtest_results\FULL_R0_01_SL5_RR1_25_DL4.db,0.01,5,6.25,4
FULL,FULL_R0.01_SL5_RR1.25_DL5,1170,562,608,48.03,-8009.56,1990.44,-80.1,80.9,-6.8458,-0.9901,backtest_results\FULL_R0_01_SL5_RR1_25_DL5.db,0.01,5,6.25,5
FULL,FULL_R0.01_SL5_RR1.5_DL1,637,282,355,44.27,-4992.64,5007.36,-49.93,52.35,-7.8377,-0.9538,backtest_results\FULL_R0_01_SL5_RR1_5_DL1.db,0.01,5,7.5,1
FULL,FULL_R0.01_SL5_RR1.5_DL2,959,415,544,43.27,-7223.53,2776.47,-72.24,73.45,-7.5324,-0.9835,backtest_results\FULL_R0_01_SL5_RR1_5_DL2.db,0.01,5,7.5,2
FULL,FULL_R0.01_SL5_RR1.5_DL3,1081,471,610,43.57,-7485.05,2514.95,-74.85,75.66,-6.9242,-0.9893,backtest_results\FULL_R0_01_SL5_RR1_5_DL3.db,0.01,5,7.5,3
FULL,FULL_R0.01_SL5_RR1.5_DL4,1117,482,635,43.15,-7882.66,2117.34,-78.83,79.27,-7.057,-0.9944,backtest_results\FULL_R0_01_SL5_RR1_5_DL4.db,0.01,5,7.5,4
FULL,FULL_R0.01_SL5_RR1.5_DL5,1132,490,642,43.29,-7853.88,2146.12,-78.54,78.85,-6.9381,-0.9961,backtest_results\FULL_R0_01_SL5_RR1_5_DL5.db,0.01,5,7.5,5
FULL,FULL_R0.01_SL5_RR1.75_DL1,608,248,360,40.79,-4581.32,5418.68,-45.81,47.81,-7.5351,-0.9583,backtest_results\FULL_R0_01_SL5_RR1_75_DL1.db,0.01,5,8.75,1
FULL,FULL_R0.01_SL5_RR1.75_DL2,922,363,559,39.37,-7217.06,2782.94,-72.17,72.85,-7.8276,-0.9907,backtest_results\FULL_R0_01_SL5_RR1_75_DL2.db,0.01,5,8.75,2
FULL,FULL_R0.01_SL5_RR1.75_DL3,1038,414,624,39.88,-7290.97,2709.03,-72.91,74.34,-7.0241,-0.9808,backtest_results\FULL_R0_01_SL5_RR1_75_DL3.db,0.01,5,8.75,3
FULL,FULL_R0.01_SL5_RR1.75_DL4,1074,424,650,39.48,-7730.89,2269.11,-77.31,77.72,-7.1982,-0.9947,backtest_results\FULL_R0_01_SL5_RR1_75_DL4.db,0.01,5,8.75,4
FULL,FULL_R0.01_SL5_RR1.75_DL5,1088,431,657,39.61,-7690.19,2309.81,-76.9,77.56,-7.0682,-0.9915,backtest_results\FULL_R0_01_SL5_RR1_75_DL5.db,0.01,5,8.75,5
FULL,FULL_R0.01_SL5_RR2.0_DL1,580,212,368,36.55,-5203.68,4796.32,-52.04,54.29,-8.9719,-0.9585,backtest_results\FULL_R0_01_SL5_RR2_0_DL1.db,0.01,5,10.0,1
FULL,FULL_R0.01_SL5_RR2.0_DL2,880,318,562,36.14,-6994.71,3005.29,-69.95,71.29,-7.9485,-0.9811,backtest_results\FULL_R0_01_SL5_RR2_0_DL2.db,0.01,5,10.0,2
FULL,FULL_R0.01_SL5_RR2.0_DL3,996,371,625,37.25,-6448.26,3551.74,-64.48,66.95,-6.4742,-0.9632,backtest_results\FULL_R0_01_SL5_RR2_0_DL3.db,0.01,5,10.0,3
FULL,FULL_R0.01_SL5_RR2.0_DL4,1025,378,647,36.88,-6959.89,3040.11,-69.6,71.36,-6.7901,-0.9753,backtest_results\FULL_R0_01_SL5_RR2_0_DL4.db,0.01,5,10.0,4
FULL,FULL_R0.01_SL5_RR2.0_DL5,1038,384,654,36.99,-6906.07,3093.93,-69.06,70.86,-6.6532,-0.9747,backtest_results\FULL_R0_01_SL5_RR2_0_DL5.db,0.01,5,10.0,5
FULL,FULL_R0.01_SL5_RR2.5_DL1,537,176,361,32.77,-3479.31,6520.69,-34.79,40.73,-6.4792,-0.8543,backtest_results\FULL_R0_01_SL5_RR2_5_DL1.db,0.01,5,12.5,1
FULL,FULL_R0.01_SL5_RR2.5_DL2,787,248,539,31.51,-6042.61,3957.39,-60.43,61.51,-7.678,-0.9823,backtest_results\FULL_R0_01_SL5_RR2_5_DL2.db,0.01,5,12.5,2
FULL,FULL_R0.01_SL5_RR2.5_DL3,876,277,599,31.62,-6307.26,3692.74,-63.07,65.54,-7.2001,-0.9623,backtest_results\FULL_R0_01_SL5_RR2_5_DL3.db,0.01,5,12.5,3
FULL,FULL_R0.01_SL5_RR2.5_DL4,906,282,624,31.13,-6990.99,3009.01,-69.91,70.92,-7.7163,-0.9857,backtest_results\FULL_R0_01_SL5_RR2_5_DL4.db,0.01,5,12.5,4
FULL,FULL_R0.01_SL5_RR2.5_DL5,915,285,630,31.15,-7009.14,2990.86,-70.09,71.1,-7.6603,-0.9859,backtest_results\FULL_R0_01_SL5_RR2_5_DL5.db,0.01,5,12.5,5
FULL,FULL_R0.01_SL5_RR3.0_DL1,500,139,361,27.8,-4411.55,5588.45,-44.12,48.26,-8.8231,-0.9141,backtest_results\FULL_R0_01_SL5_RR3_0_DL1.db,0.01,5,15.0,1
FULL,FULL_R0.01_SL5_RR3.0_DL2,729,198,531,27.16,-6229.76,3770.24,-62.3,63.78,-8.5456,-0.9768,backtest_results\FULL_R0_01_SL5_RR3_0_DL2.db,0.01,5,15.0,2
FULL,FULL_R0.01_SL5_RR3.0_DL3,813,223,590,27.43,-6289.92,3710.08,-62.9,66.58,-7.7367,-0.9447,backtest_results\FULL_R0_01_SL5_RR3_0_DL3.db,0.01,5,15.0,3
FULL,FULL_R0.01_SL5_RR3.0_DL4,841,227,614,26.99,-6956.08,3043.92,-69.56,71.47,-8.2712,-0.9732,backtest_results\FULL_R0_01_SL5_RR3_0_DL4.db,0.01,5,15.0,4
FULL,FULL_R0.01_SL5_RR3.0_DL5,847,230,617,27.15,-6807.42,3192.58,-68.07,70.08,-8.0371,-0.9714,backtest_results\FULL_R0_01_SL5_RR3_0_DL5.db,0.01,5,15.0,5
FULL,FULL_R0.01_SL8_RR1.0_DL1,663,352,311,53.09,-4145.83,5854.17,-41.46,45.37,-6.2531,-0.9137,backtest_results\FULL_R0_01_SL8_RR1_0_DL1.db,0.01,8,8.0,1
FULL,FULL_R0.01_SL8_RR1.0_DL2,926,481,445,51.94,-6058.21,3941.79,-60.58,63.91,-6.5423,-0.9479,backtest_results\FULL_R0_01_SL8_RR1_0_DL2.db,0.01,8,8.0,2
FULL,FULL_R0.01_SL8_RR1.0_DL3,1007,517,490,51.34,-6770.65,3229.35,-67.71,70.36,-6.7236,-0.9623,backtest_results\FULL_R0_01_SL8_RR1_0_DL3.db,0.01,8,8.0,3
FULL,FULL_R0.01_SL8_RR1.0_DL4,1032,526,506,50.97,-7105.37,2894.63,-71.05,73.43,-6.885,-0.9676,backtest_results\FULL_R0_01_SL8_RR1_0_DL4.db,0.01,8,8.0,4
FULL,FULL_R0.01_SL8_RR1.0_DL5,1038,532,506,51.25,-6953.95,3046.05,-69.54,72.04,-6.6994,-0.9652,backtest_results\FULL_R0_01_SL8_RR1_0_DL5.db,0.01,8,8.0,5
FULL,FULL_R0.01_SL8_RR1.25_DL1,626,303,323,48.4,-2914.76,7085.24,-29.15,32.65,-4.6562,-0.8927,backtest_results\FULL_R0_01_SL8_RR1_25_DL1.db,0.01,8,10.0,1
FULL,FULL_R0.01_SL8_RR1.25_DL2,876,420,456,47.95,-4147.33,5852.67,-41.47,44.95,-4.7344,-0.9226,backtest_results\FULL_R0_01_SL8_RR1_25_DL2.db,0.01,8,10.0,2
FULL,FULL_R0.01_SL8_RR1.25_DL3,950,449,501,47.26,-5161.02,4838.98,-51.61,55.14,-5.4327,-0.9361,backtest_results\FULL_R0_01_SL8_RR1_25_DL3.db,0.01,8,10.0,3
FULL,FULL_R0.01_SL8_RR1.25_DL4,972,458,514,47.12,-5403.13,4596.87,-54.03,57.25,-5.5588,-0.9438,backtest_results\FULL_R0_01_SL8_RR1_25_DL4.db,0.01,8,10.0,4
FULL,FULL_R0.01_SL8_RR1.25_DL5,978,464,514,47.44,-5090.32,4909.68,-50.9,54.92,-5.2048,-0.9269,backtest_results\FULL_R0_01_SL8_RR1_25_DL5.db,0.01,8,10.0,5
FULL,FULL_R0.01_SL8_RR1.5_DL1,595,263,332,44.2,-2110.97,7889.03,-21.11,25.84,-3.5478,-0.8168,backtest_results\FULL_R0_01_SL8_RR1_5_DL1.db,0.01,8,12.0,1
FULL,FULL_R0.01_SL8_RR1.5_DL2,836,357,479,42.7,-4554.94,5445.06,-45.55,51.26,-5.4485,-0.8887,backtest_results\FULL_R0_01_SL8_RR1_5_DL2.db,0.01,8,12.0,2
FULL,FULL_R0.01_SL8_RR1.5_DL3,911,386,525,42.37,-5221.01,4778.99,-52.21,56.75,-5.7311,-0.92,backtest_results\FULL_R0_01_SL8_RR1_5_DL3.db,0.01,8,12.0,3
FULL,FULL_R0.01_SL8_RR1.5_DL4,933,395,538,42.34,-5357.95,4642.05,-53.58,57.6,-5.7427,-0.9302,backtest_results\FULL_R0_01_SL8_RR1_5_DL4.db,0.01,8,12.0,4
FULL,FULL_R0.01_SL8_RR1.5_DL5,937,398,539,42.48,-5219.33,4780.67,-52.19,57.46,-5.5703,-0.9083,backtest_results\FULL_R0_01_SL8_RR1_5_DL5.db,0.01,8,12.0,5
FULL,FULL_R0.01_SL8_RR1.75_DL1,560,217,343,38.75,-3633.84,6366.16,-36.34,41.42,-6.489,-0.8772,backtest_results\FULL_R0_01_SL8_RR1_75_DL1.db,0.01,8,14.0,1
FULL,FULL_R0.01_SL8_RR1.75_DL2,801,298,503,37.2,-6111.27,3888.73,-61.11,62.05,-7.6295,-0.9848,backtest_results\FULL_R0_01_SL8_RR1_75_DL2.db,0.01,8,14.0,2
FULL,FULL_R0.01_SL8_RR1.75_DL3,869,327,542,37.63,-6011.7,3988.3,-60.12,61.5,-6.918,-0.9775,backtest_results\FULL_R0_01_SL8_RR1_75_DL3.db,0.01,8,14.0,3
FULL,FULL_R0.01_SL8_RR1.75_DL4,889,335,554,37.68,-6063.54,3936.46,-60.64,62.0,-6.8206,-0.978,backtest_results\FULL_R0_01_SL8_RR1_75_DL4.db,0.01,8,14.0,4
FULL,FULL_R0.01_SL8_RR1.75_DL5,893,338,555,37.85,-5915.98,4084.02,-59.16,60.57,-6.6248,-0.9766,backtest_results\FULL_R0_01_SL8_RR1_75_DL5.db,0.01,8,14.0,5
FULL,FULL_R0.01_SL8_RR2.0_DL1,542,195,347,35.98,-3151.62,6848.38,-31.52,36.05,-5.8148,-0.8743,backtest_results\FULL_R0_01_SL8_RR2_0_DL1.db,0.01,8,16.0,1
FULL,FULL_R0.01_SL8_RR2.0_DL2,759,264,495,34.78,-5278.8,4721.2,-52.79,54.02,-6.9549,-0.9771,backtest_results\FULL_R0_01_SL8_RR2_0_DL2.db,0.01,8,16.0,2
FULL,FULL_R0.01_SL8_RR2.0_DL3,828,292,536,35.27,-5002.36,4997.64,-50.02,55.3,-6.0415,-0.9047,backtest_results\FULL_R0_01_SL8_RR2_0_DL3.db,0.01,8,16.0,3
FULL,FULL_R0.01_SL8_RR2.0_DL4,845,299,546,35.38,-4946.69,5053.31,-49.47,54.54,-5.8541,-0.907,backtest_results\FULL_R0_01_SL8_RR2_0_DL4.db,0.01,8,16.0,4
FULL,FULL_R0.01_SL8_RR2.0_DL5,849,301,548,35.45,-4874.1,5125.9,-48.74,54.17,-5.741,-0.8997,backtest_results\FULL_R0_01_SL8_RR2_0_DL5.db,0.01,8,16.0,5
